slot	class	method	return	params	const	tier	retail_words	sdk_words
560		ClearAttackConditions	void			sdk	0	0
561		GatherAttackConditions	void	CBaseEntity*, float		sdk	2	2
562		WeaponLOSCondition	bool	const Vector&, const Vector&, bool		walked	3	
563		TranslateEnemyChasePosition	void	CBaseEntity*, Vector&, float&, float*		walked	4	
564		FCanCheckAttacks	bool			walked	0	
565		CheckAmmo	void			walked	0	
566		FValidateHintType	bool	CAI_Hint*		sdk	1	1
567		GetHintActivity	Activity	short		walked	1	
568		GetHintDelay	float	short		walked	1	
569		GetCoverActivity	Activity	CAI_Hint*		walked	1	
570		GetReloadActivity	Activity	CAI_Hint*		walked	1	
571			Activity	float		walked	1	
572		SetTurnActivity	void			walked	0	
573		InnateWeaponLOSCondition	bool	const Vector&, const Vector&, bool		walked	3	
574		GetShootEnemyDir	Vector	const Vector&, int, int		walked	4	
575		ShouldMoveAndShoot	bool			walked	0	
576		IsLightDamage	bool	float, int		walked	2	
577		IsHeavyDamage	bool	float, int		walked	2	
578		NotifyDeadFriend	void	CBaseEntity*		walked	1	
579			bool	int		walked	1	
580		GetClassScheduleIdSpace	CAI_ClassScheduleIdSpace*			walked	0	
581		ReportAIState	void			walked	0	
582		ReportOverThinkLimit	void	float		walked	1	
583			void	const Vector&		walked	1	
583	CAI_BaseActor	CreateExpresser	CAI_Expresser*			walked	0	
583	CAI_ExpressiveNPC	CreateExpresser	CAI_Expresser*			walked	0	
583	CCineNPC	PossessEntity	void			walked	0	
584			void	int		walked	1	
584	CAI_BaseActor	Speak	bool	AIConcept_t, const char*		walked		
584	CAI_ExpressiveNPC	Speak	bool	AIConcept_t, const char*		walked		
584	CCineNPC	StartSequence	bool	CAI_BaseNPC*, string_t, bool		walked	3	
585		ProcessTweakParam	void	const char*, const char*		walked	2	
585	CAI_BaseActor	PickLookTarget	void	bool, float, float		walked	3	
585	CCineNPC	FCanOverrideState	bool			walked	0	
586		GetBestSeeUnknown	EHANDLE			walked	1	
586	CAI_BaseActor	HasActiveLookTargets	bool			walked	0	
586	CCineNPC	FixScriptNPCSchedule	void	CAI_BaseNPC*		walked	1	
587		CanWitnessSupernatural	bool	int		walked	1	
587	CAI_BaseActor	ValidEyeTarget	bool	const Vector&		walked	1	
588			void			walked	0	
588	CAI_BaseActor	ValidHeadTarget	bool	const Vector&		walked	1	
589		SetScriptedDiscipline	void	int, int		walked	2	
589	CAI_BaseActor	SelectRandomExpressionForState	const char*	NPC_STATE		walked	1	
590		OkToInterruptForMelee	bool			walked	0	
591			bool			walked	0	
592		CanSeekCover	bool			walked	0	
593			void			walked	0	
594			bool	CBaseEntity*, int, CBaseEntity**, int		walked	4	
595		AcquireNearestHatedTarget	void			walked	0	
596			void	CBaseEntity*		walked	1	
597			void	CBaseEntity*, int		walked	2	
598			void	CBaseEntity*		walked	1	
599			bool	int		walked	1	
600			bool	CBaseEntity*		walked	1	
601			void	CBaseEntity*		walked	1	
602			bool			walked	0	
603			float	float*, const float*		walked		
604		SelectScheduleMeleeCombat	int	int		walked	1	
605		SelectScheduleRangedCombat	int	int		walked	1	
606			int	int		walked	1	
607			int			walked	0	
608			bool	const char*		walked	1	
609			CAI_Hint*	bool		walked	1	
610			void	NPC_STATE		walked	1	
611			int			walked	0	
612			int			walked	0	
613			bool			walked	0	
614		ResetThinkTimers	void			walked	0	
615		CanBeSetOnFire	bool			walked	0	
616			void			walked	0	
617	CNPCMaker	MakeNPC	void	bool		walked	1	
617	CNPC_VBaseBoss	EnemyCouldSeeHull	bool	Vector, bool, bool, Vector		walked	8	
617	CNPC_VGargoyle		void			walked	0	
617	CNPC_VHengeyokai		void			walked	0	
617	CNPC_VVampireBoss	InputTransformModel	void	inputdata_t&		walked	1	
617	CPayphone		bool			walked	0	
618	CNPCMaker	CanMakeNPC	bool	bool		walked	1	
618	CNPC_VGargoyle		void			walked	0	
618	CNPC_VHengeyokai		void			walked	0	
618	CNPC_VTzimisce		void			walked	0	
618	CNPC_VTzimisceHeadClaw		void			walked	0	
618	CNPC_VTzimisceRunner		void			walked	0	
618	CNPC_VVampireBoss	TransformationStart	void			walked	0	
618	CNPC_VWerewolf		bool	int, int, int, int		unsettled	4	
619	CNPCMaker	ChildPreSpawn	void	CAI_BaseNPCTroika*		walked	1	
619	CNPC_VAndreiBlood	SetSchedule	void	int		walked	1	
619	CNPC_VAsianVampire	SetSchedule	void	int		walked	1	
619	CNPC_VChangBros	SetSchedule	void	int		walked	1	
619	CNPC_VSabbatLeader	SetSchedule	void	int		walked	1	
619	CNPC_VSheriffMan	SetSchedule	void	int		walked	1	
619	CNPC_VTzimisce		void			walked	0	
619	CNPC_VTzimisceHeadClaw		void	bool		walked	1	
619	CNPC_VTzimisceRunner		void	bool		walked	1	
619	CNPC_VWerewolf		int	int		unsettled	1	
620	CNPCMaker	ChildPostSpawn	void	CAI_BaseNPCTroika*		walked	1	
620	CNPC_VSabbatLeader	FootstepSound	void			walked	0	
620	CNPC_VTzimisce		void			walked	0	
620	CNPC_VWerewolf	DrawBBoxOverlay	void			walked	0	
621	CNPC_VSabbatLeader	AttackSound	void			walked	0	
621	CNPC_VTzimisce		void			walked	0	
622	CNPC_VTzimisce		void			walked	0	
623	CNPC_VTzimisce		void			walked	0	
624	CNPC_VTzimisce		void			walked	0	
625	CNPC_VTzimisce		void			walked	0	
626	CNPC_VTzimisce		void			walked	0	
627	CNPC_VTzimisce		void			walked	0	
